timestamp,unit_id,is_on_shift,available_people_count,fatigue_score,last_dispatch_minutes_ago
2025-11-28T06:42:46.720536+00:00,U000000,True,3,0.393,174
2025-11-23T20:52:46.720536+00:00,U000001,True,3,0.309,598
2025-12-01T09:35:46.720536+00:00,U000002,True,4,0.36,56
2025-12-12T03:00:46.720536+00:00,U000003,True,8,0.481,86
2025-11-26T02:59:46.720536+00:00,U000004,True,0,0.366,9
2025-12-12T20:06:46.720536+00:00,U000005,True,14,0.152,85
2025-12-05T03:23:46.720536+00:00,U000006,False,8,0.329,409
2025-11-18T06:18:46.720536+00:00,U000007,False,5,0.499,533
2025-11-29T12:06:46.720536+00:00,U000008,False,14,0.055,194
2025-11-25T19:47:46.720536+00:00,U000009,True,7,0.527,520
2025-11-14T11:56:46.720536+00:00,U000010,True,8,0.146,434
2025-12-06T16:44:46.720536+00:00,U000011,False,3,0.458,575
2025-11-18T01:03:46.720536+00:00,U000012,True,1,0.403,597
2025-11-20T21:14:46.720536+00:00,U000013,True,19,0.291,339
2025-12-02T00:56:46.720536+00:00,U000014,True,18,0.135,505
2025-12-05T12:40:46.720536+00:00,U000015,True,9,0.703,347
2025-12-05T05:23:46.720536+00:00,U000016,True,4,0.5,41
2025-11-30T20:08:46.720536+00:00,U000017,True,8,0.075,315
2025-11-24T06:15:46.720536+00:00,U000018,True,0,0.255,553
2025-11-29T21:47:46.720536+00:00,U000019,True,3,0.394,92
2025-12-09T00:32:46.720536+00:00,U000020,True,3,0.04,281
2025-11-14T18:42:46.720536+00:00,U000021,True,3,0.573,249
2025-12-01T18:28:46.720536+00:00,U000022,False,4,0.162,402
2025-11-16T16:21:46.720536+00:00,U000023,False,0,0.207,482
2025-12-07T18:10:46.720536+00:00,U000024,True,21,0.019,503
2025-12-05T01:55:46.720536+00:00,U000025,False,4,0.403,217
2025-11-20T03:16:46.720536+00:00,U000026,True,11,0.194,153
2025-12-05T01:59:46.720536+00:00,U000027,True,8,0.415,467
2025-11-16T14:12:46.720536+00:00,U000028,True,3,0.217,268
2025-11-30T18:41:46.720536+00:00,U000029,True,7,0.342,263
2025-11-29T17:33:46.720536+00:00,U000030,True,1,0.197,576
2025-12-13T07:35:46.720536+00:00,U000031,True,8,0.171,398
2025-11-30T18:23:46.720536+00:00,U000032,False,3,0.59,241
2025-12-04T04:06:46.720536+00:00,U000033,False,20,0.333,276
2025-11-27T00:04:46.720536+00:00,U000034,True,7,0.157,53
2025-11-14T21:16:46.720536+00:00,U000035,True,6,0.208,475
2025-12-13T00:25:46.720536+00:00,U000036,True,5,0.196,251
2025-11-18T07:01:46.720536+00:00,U000037,False,2,0.555,126
2025-12-01T10:45:46.720536+00:00,U000038,True,4,0.299,273
2025-11-27T09:14:46.720536+00:00,U000039,True,2,0.206,79
2025-11-29T08:07:46.720536+00:00,U000040,True,2,0.508,510
2025-11-28T20:58:46.720536+00:00,U000041,True,2,0.07,25
2025-11-18T16:45:46.720536+00:00,U000042,False,7,0.334,41
2025-11-15T02:02:46.720536+00:00,U000043,True,9,0.164,201
2025-11-13T17:45:46.720536+00:00,U000044,True,13,0.399,321
2025-11-25T15:26:46.720536+00:00,U000045,False,4,0.539,414
2025-11-22T10:23:46.720536+00:00,U000046,True,14,0.078,467
2025-11-15T03:40:46.720536+00:00,U000047,False,2,0.236,414
2025-11-15T10:55:46.720536+00:00,U000048,False,8,0.54,352
2025-11-13T12:03:46.720536+00:00,U000049,True,1,0.448,10
2025-12-12T00:56:46.720536+00:00,U000050,False,19,0.422,523
2025-12-12T10:13:46.720536+00:00,U000051,False,13,0.652,224
2025-11-26T00:25:46.720536+00:00,U000052,True,4,0.113,435
2025-12-09T21:10:46.720536+00:00,U000053,True,1,0.407,301
2025-11-17T12:37:46.720536+00:00,U000054,False,5,0.239,319
2025-11-20T14:28:46.720536+00:00,U000055,False,7,0.401,130
2025-12-09T15:28:46.720536+00:00,U000056,False,14,0.198,35
2025-12-09T15:42:46.720536+00:00,U000057,True,14,0.251,30
2025-12-10T06:34:46.720536+00:00,U000058,False,11,0.018,401
2025-12-03T04:24:46.720536+00:00,U000059,True,11,0.482,427
2025-11-18T02:08:46.720536+00:00,U000060,True,1,0.676,240
2025-12-04T10:31:46.720536+00:00,U000061,True,8,0.147,429
2025-11-22T07:29:46.720536+00:00,U000062,True,5,0.166,46
2025-11-26T21:46:46.720536+00:00,U000063,True,23,0.389,109
2025-11-25T08:18:46.720536+00:00,U000064,True,14,0.418,267
2025-12-11T22:05:46.720536+00:00,U000065,False,4,0.087,119
2025-11-23T03:27:46.720536+00:00,U000066,True,1,0.254,403
2025-11-29T21:50:46.720536+00:00,U000067,True,16,0.505,369
2025-12-09T05:59:46.720536+00:00,U000068,False,3,0.399,375
2025-11-26T18:38:46.720536+00:00,U000069,True,11,0.376,343
2025-11-25T03:39:46.720536+00:00,U000070,True,0,0.39,195
2025-12-09T20:43:46.720536+00:00,U000071,True,10,0.367,432
2025-11-28T10:16:46.720536+00:00,U000072,True,1,0.174,221
2025-12-03T04:42:46.720536+00:00,U000073,False,12,0.37,89
2025-11-20T20:49:46.720536+00:00,U000074,False,15,0.35,437
2025-11-28T07:15:46.720536+00:00,U000075,True,1,0.236,552
2025-12-12T10:27:46.720536+00:00,U000076,False,16,0.098,585
2025-12-04T07:40:46.720536+00:00,U000077,True,8,0.31,124
2025-11-26T13:02:46.720536+00:00,U000078,True,5,0.325,387
2025-11-30T21:41:46.720536+00:00,U000079,True,16,0.31,170
2025-12-05T10:15:46.720536+00:00,U000080,True,1,0.373,203
2025-12-01T00:02:46.720536+00:00,U000081,True,0,0.119,147
2025-12-03T14:31:46.720536+00:00,U000082,False,9,0.167,442
2025-12-10T15:20:46.720536+00:00,U000083,False,4,0.465,6
2025-11-22T12:48:46.720536+00:00,U000084,True,5,0.555,533
2025-11-25T19:10:46.720536+00:00,U000085,True,9,0.188,308
2025-11-27T12:33:46.720536+00:00,U000086,False,11,0.323,258
2025-12-11T05:12:46.720536+00:00,U000087,False,2,0.185,404
2025-11-23T08:14:46.720536+00:00,U000088,True,4,0.132,179
2025-11-26T00:33:46.720536+00:00,U000089,True,9,0.232,20
2025-11-19T06:08:46.720536+00:00,U000090,True,5,0.255,63
2025-12-10T22:51:46.720536+00:00,U000091,True,3,0.149,472
2025-12-03T17:05:46.720536+00:00,U000092,False,4,0.35,492
2025-11-27T06:21:46.720536+00:00,U000093,True,11,0.427,45
2025-12-09T11:33:46.720536+00:00,U000094,False,4,0.132,497
2025-11-17T21:58:46.720536+00:00,U000095,False,1,0.14,401
2025-12-06T01:45:46.720536+00:00,U000096,False,5,0.022,273
2025-12-04T18:36:46.720536+00:00,U000097,False,1,0.137,87
